"PORT","COUNTRY","ISEU","LOCODE","LAT","LON","PORT_CALL count"
"Coryton","GB",1,"GBCOY",51.51,0.54,11
"Crotone","IT",1,"ITCRV",39.05,17.13,11
"Galle","LK",0,"LKGAL",6.03,80.23,11
"Goderich","CA",0,"CAGOH",43.75,-81.73,11
"Hammerfest","NO",0,"NOHFT",70.65,23.66,11
"Hikari","JP",0,"JPHKR",33.96,131.93,11
"Ismajil","UA",0,"UAIZM",45.34,28.79,11
"Koge","DK",1,"DKKOG",55.46,12.2,11
NA,"MA",0,"MAEUN",27.09,-13.43,11
"Puerto Dos Bocas","MX",0,"MXDBT",18.44,-93.19,11
"Puerto Quequen","AR",0,"ARQQN",-38.57,-58.71,11
"Runcorn","GB",1,"GBRUN",53.34,-2.75,11
"Shenhuzhen","CN",0,"CNJJN",24.63,118.68,11
"Sidi Kerir","EG",0,"EGSKT",31.15,29.6,11
"Songkhla","TH",0,"THSGZ",7.22,100.57,11
"Taohua","CN",0,"",29.81,117.74,11
"Victoria (Canada)","CA",0,"CAVIC",48.42,-123.39,11
"Zhapeng","CN",0,"",27,120.2,11
"Akureyri","IS",0,"ISAKU",65.69,-18.09,10
"Ampelakia","GR",1,"",37.95,23.57,10
"Astakos","GR",1,"GRAST",38.48,21.1,10
"Bastia","FR",1,"FRBIA",42.87,9.27,10
"Beidaihe","CN",0,"",39.83,119.53,10
"Dahua","CN",0,"",39.36,121.75,10
"Gandia","ES",1,"ESGAN",39,-0.15,10
"Limetree Bay","VI",0,"VILIB",17.69,-64.75,10
"Lucinda","AU",0,"AULUC",-18.52,146.36,10
"Shenwan","CN",0,"CNSNW",22.28,113.34,10
"Ushuaia","AR",0,"ARUSH",-54.81,-68.3,10
"Vung Tau","VN",0,"VNVUT",10.49,106.96,10
"Zafiro Marine Terminal","CM",0,"",4,9.62,10
"Bridgetown","BB",0,"BBBGI",13.11,-59.63,9
"Falmouth","GB",1,"GBFAL",NA,NA,9
"Jia Hong Kong Logistics","CN",0,"",30.63999167,121.1816108,9
"Leighton","GB",1,"GBLBZ",53.7316,-0.85495,9
"Map Ta Phut","TH",0,"THMAT",12.66856833,101.1467083,9
"Menzel Bourguiba","TN",0,"TNMBA",37.1591025,9.809800833,9
"Mongla","BD",0,"BDMGL",NA,NA,9
NA,"DE",1,"",54.3315625,9.790340833,9
"Risdon","AU",0,"AURDN",NA,NA,9
"Saint Malo","FR",1,"FRSML",48.64416667,-2.020833333,9
"Sakata","JP",0,"JPSKT",NA,NA,9
"San Ciprian","ES",1,"ESSCI",43.705335,-7.4685145,9
"Calais","FR",1,"FRCQF",50.965545,1.8522725,8
"Coos Bay","US",0,"USCOB",43.38795,-124.2191667,8
"Curacao","AN",0,"ANCUR",12.10422333,-68.94225667,8
"Devonport","AU",0,"AUDPO",NA,NA,8
"Eden","AU",0,"AUQDN",NA,NA,8
"Havana","CU",0,"CUHAV",23.14070667,-82.34421667,8
"Las Calderas","DO",0,"DOLCS",18.21595333,-70.51790667,8
"Malakka","MY",0,"MYMKZ",NA,NA,8
"Monte Carlo","MC",0,"MCMCM",8.91246,-79.527485,8
"Nampo","KP",0,"KPNAM",38.71632,125.40025,8
"Nanao","JP",0,"JPNNO",NA,NA,8
"Nyborg","DK",1,"DKNBG",55.29827417,10.80869083,8
"Port Pirie","AU",0,"AUPPI",-33.16925,138.0137833,8
"Sibenik","HR",1,"HRSIB",43.69432,15.88231667,8
"Valleyfield","CA",0,"CAVLF",45.22351667,-74.09283333,8
"Vysotsk","RU",0,"RUVYS",NA,NA,8
"Abu Zenima","EG",0,"EGABZ",NA,NA,7
"Adelaide Bahamas","BS",0,"",24.998481,-77.49585,7
"Aioi","JP",0,"JPAIO",NA,NA,7
"Falkenberg","SE",1,"SEFAG",56.8880145,12.4750125,7
"Husum","DE",1,"DEHUS",54.47227167,9.034316667,7
"Jian Tiao","CN",0,"",29.05040667,121.6462875,7
"Mazatlan","MX",0,"MXMZT",23.19821167,-106.4122667,7
"Sir Bani Yas","AE",0,"",24.27016,52.610841,7
"Sungai Pakning","ID",0,"IDSEQ",NA,NA,7
"Visakhapatnam","IN",0,"INVTZ",17.695955,83.2873,7
"Zonguldak","TR",0,"TRZON",41.46801667,31.78364333,7
"Arzew El-Djedid","DZ",0,"",35.848861,-0.292644,6
"Calabar","NG",0,"NGCBQ",5.013563333,8.316106667,6
"Conneaut","US",0,"USCDY",41.9725,-80.5505,6
"Cumarebo","VE",0,"VECMR",11.51241667,-69.33111667,6
"Da Yang Shen Island","CN",0,"",29.96414333,122.2339467,6
"Gangavaram","IN",0,"INGGV",17.624635,83.240445,6
"Kappelshamn","SE",1,"SEKPH",57.84306983,18.798786,6
"Kristinehamn","SE",1,"",59.314937,14.087028,6
"La Brea","TT",0,"TT LAB",NA,NA,6
"Mellitah","LY",0,"LYMTH",32.87854333,12.24394167,6
